unlocode,name,municipality,iso_country,lat,lon
EEMUR,Muratsi Sadam,Muratsi Sadam,EE,58.23333,22.58333
EENAI,Naissaare,Naissaare,EE,59.55,24.55
EENAS,Nasva,Nasva,EE,58.21667,22.4
EENJD,Nasva Jõesadam,Nasva Jõesadam,EE,58.23333,22.38333
EENJS,Narva-Jõesuu Sadam,Narva-Jõesuu Sadam,EE,59.46667,28.05
EENME,Neeme,Neeme,EE,59.53333,25.16667
EENOB,Noblessneri,Noblessneri,EE,59.45,24.73333
EENRM,Nurme,Nurme,EE,59.4714523,25.4646669
EENST,Naistlaiu Sadam,Naistlaiu Sadam,EE,58.81667,23.03333
EENVA,Nõva Sadam,Nõva Sadam,EE,59.25,23.66667
EEOIU,Oiu,Oiu,EE,58.4,25.98333
EEOMR,Omedu Rand,Omedu Rand,EE,58.78333,26.98333
EEORI,Orissaare,Orissaare,EE,58.56667,23.1
EEORJ,Orjaku,Orjaku,EE,58.78333,22.76667
EEOSM,Osmussaare Sadam,Osmussaare Sadam,EE,59.28333,23.41667
EEOST,Österby,Österby,EE,58.98333,23.51667
EEOTI,Oti,Oti,EE,58.4999118,23.0592971
EEOTS,Otsa,Otsa,EE,57.8493093,27.2405525
EEPAA,Paatsalu,Paatsalu,EE,58.51667,23.68333
EEPAP,Papissaare Sadam,Papissaare Sadam,EE,58.36667,21.98333
EEPAR,Patareisadam,Patareisadam,EE,59.45,24.75
EEPAS,Paljassaare,Paljassaare,EE,59.45,24.7
EEPHL,Pihelgalaiu,Pihelgalaiu,EE,58.45,23.66667
EEPIR,Pirita,Pirita,EE,59.46667,24.81667
EEPLN,Paldiski Põhjasadam,Paldiski Põhjasadam,EE,59.35,24.05
EEPLS,Paldiski Lõunasadam,Paldiski Lõunasadam,EE,59.33333,24.08333
EEPRE,Piirissaare Sadam,Piirissaare Sadam,EE,58.38333,27.51667
EEPRI,Peerni,Peerni,EE,58.25,24.13333
EEPRJ,Purtse Jahisadam,Purtse Jahisadam,EE,59.43333,26.98333
EEPRK,Purtse Kalasadam,Purtse Kalasadam,EE,59.43333,26.98333
EEPRL,Prangli Lõunasadam,Prangli Lõunasadam,EE,59.61667,25
EEPRN,Pärnu,Pärnu,EE,58.38333,24.5
EEPRV,Pärnu Sadama Väikesadam,Pärnu Sadama Väikesadam,EE,58.38333,24.48333
EEPSM,Pae Sadam,Pae Sadam,EE,58.48333,23.26667
EEPSV,Paslepa-Viigi Sadam,Paslepa-Viigi Sadam,EE,59.01667,23.43333
EEPUR,Purtse,Purtse,EE,59.41667,27
EEPUS,Pusi,Pusi,EE,58.63333,27.15
EEPVS,Piirivalvesadam,Piirivalvesadam,EE,59.45,24.66667
EERAJ,Raja,Raja,EE,58.83333,26.95
EERBS,Rebase Paadisadam,Rebase Paadisadam,EE,58.36667,26.75
EERGR,Roograhu,Roograhu,EE,58.9598595,23.5667817
EERHK,Rohuküla,Rohuküla,EE,58.9,23.43333
